,created_at,likes,retweets,source,text
184,2020-01-20 14:29:35,11008.0,2602.0,Twitter Media Studio,"A few marks cannot define success and failure.

The world has changed a lot.

Opportunities are numerous.

Find you… https://t.co/BI3x21bwC2"
185,2020-01-20 14:28:50,9115.0,1985.0,Twitter for iPhone,"Exams means mood off…

A simple question by my young friends, to which I talked about motivation, demotivation and… https://t.co/amAqtbNT3K"
186,2020-01-20 14:27:29,21159.0,3749.0,Twitter for iPhone,"जब पूरा समाज एकजुट होकर आगे बढ़ता है, तभी सकारात्मक परिवर्तन आता है। 

जन जागरण के इस अभियान के लिए मैं बिहार की जन… https://t.co/ta7sn7sJhw"
187,2020-01-20 11:16:36,13399.0,3397.0,Periscope,Speaking at the BJP headquarters in Delhi. Watch. https://t.co/E61B7OHSP8
188,2020-01-20 11:00:13,57943.0,10146.0,Twitter Web App,I do not think words can do justice to the rich contribution of @AmitShah Ji as @BJP4India President. During his Pr… https://t.co/rrQxHHQGgg
189,2020-01-20 10:59:36,6690.0,1608.0,Twitter Web App,"Be it as a young Party Karyakarta, MLA, Minister in Himachal Pradesh or Organisational duties at the Centre, MP and… https://t.co/Sqze5utV34"
190,2020-01-20 10:59:36,25052.0,4609.0,Twitter Web App,Congratulations to Shri @JPNadda Ji on being elected @BJP4India President. Wishing him the very best for his tenure… https://t.co/3UB9MU7Opx
191,2020-01-20 05:53:17,27943.0,7549.0,Periscope,Amazing #ParikshaPeCharcha2020 programme. Watch. https://t.co/t3S6ckqrX1
192,2020-01-20 04:45:59,15522.0,3426.0,Twitter for iPhone,"Eagerly awaiting today’s #ParikshaPeCharcha2020! 

It is always a delight to connect with India’s youth. Their ener… https://t.co/jB56ZreYZe"
193,2020-01-19 12:25:08,9997.0,2306.0,Twitter for iPhone,"Discussion on exams, @examwarriors and the ‘Pariksha Pe Charcha’ are a part of an endeavour to support our dynamic… https://t.co/Mfia1vo7jj"
194,2020-01-19 12:25:08,10459.0,2126.0,Twitter for iPhone,"In the run up to ‘Pariksha Pe Charcha 2020’, lakhs of students, parents and teachers shared their inputs and sugges… https://t.co/bnIH30SlfD"
195,2020-01-19 12:25:04,37573.0,6363.0,Twitter for iPhone,"11 AM, 20th January...

We will once again have extensive discussions and insightful conversations on a wide range… https://t.co/jJpuilcVgY"
196,2020-01-18 14:42:42,66733.0,8358.0,Twitter for iPhone,The news of @AzmiShabana Ji’s injury in an accident is distressing. I pray for her quick recovery.
197,2020-01-18 10:58:19,27652.0,3959.0,Twitter for iPhone,Anguished by the passing away of Shri Ashwini Kumar Chopra Ji. He will be remembered for his contribution to the me… https://t.co/S3QFUEAG7G
198,2020-01-16 16:35:21,37089.0,6989.0,Twitter for iPhone,"Committed to the development of the Northeast and it’s citizens!

Today’s agreement will greatly help the Bru-Reang… https://t.co/YHOtxmCsRW"
199,2020-01-16 11:05:50,23339.0,5313.0,Periscope,Speaking on 'Globalising Indian Thought.' Watch https://t.co/Ta82teOBXS
